Cnode ID, Thread ID,CYCLES_NOT_IN_HALT,RETIRED_INSTRUCTIONS,perf::PERF_COUNT_HW_CACHE_L1D:MISS,perf::PERF_COUNT_HW_CACHE_L1D:ACCESS,execution,mpi,comp,regionName,iteration
4,43,529745569,454767730,8209482,181040564,0.218007,0.218007,0.0,mpi_irecv,0
4,44,586397015,453040163,8402932,178464674,0.242446,0.242446,0.0,mpi_irecv,0
4,45,623600293,453790267,8568297,180233104,0.25822,0.25822,0.0,mpi_irecv,0
4,46,579515089,453162979,8236038,180379773,0.238898,0.238898,0.0,mpi_irecv,0
4,47,431729350,284565824,5833560,112856531,0.181451,0.181451,0.0,mpi_irecv,0
4,48,533132265,456171626,8137613,184290905,0.21883,0.21883,0.0,mpi_irecv,0
4,49,769790793,717021125,11444912,281402522,0.309227,0.309227,0.0,mpi_irecv,0
4,50,736918730,714204958,13250186,281035822,0.296398,0.296398,0.0,mpi_irecv,0
4,51,739827673,711859686,10824819,281126322,0.296501,0.296501,0.0,mpi_irecv,0
4,52,731452902,716656894,12036677,280496518,0.291997,0.291997,0.0,mpi_irecv,0
4,53,774594158,716376168,9857336,282903474,0.309526,0.309526,0.0,mpi_irecv,0
4,54,770818936,721092234,10128119,285206519,0.308759,0.308759,0.0,mpi_irecv,0
4,55,729128878,717801186,10453874,284462262,0.291331,0.291331,0.0,mpi_irecv,0
4,56,701812305,717411130,10828175,281571243,0.277367,0.277367,0.0,mpi_irecv,0
4,57,704379825,711020896,11660736,281401612,0.282568,0.282568,0.0,mpi_irecv,0
4,58,690564139,716520548,10914808,282685999,0.277413,0.277413,0.0,mpi_irecv,0
4,59,498203186,455738629,9499114,183457417,0.20379,0.20379,0.0,mpi_irecv,0
4,60,731733713,715218679,10220000,283089045,0.292338,0.292338,0.0,mpi_irecv,0
4,61,1093743687,1113058872,13870352,431342201,0.434737,0.434737,0.0,mpi_irecv,0
4,62,1064185622,1105850353,15446389,432479718,0.421134,0.421134,0.0,mpi_irecv,0
4,63,1033872221,1106821421,15617212,432864930,0.411931,0.411931,0.0,mpi_irecv,0
4,64,1007500741,1104910636,15116538,430892173,0.395422,0.395422,0.0,mpi_irecv,0
4,65,1094721440,1109925278,14933081,434196336,0.432682,0.432682,0.0,mpi_irecv,0
4,66,1054853980,1111031497,16886299,434231360,0.411779,0.411779,0.0,mpi_irecv,0
4,67,1043912716,1111549775,16369170,435930697,0.409115,0.409115,0.0,mpi_irecv,0
4,68,957128570,1107436598,15985812,434293967,0.373746,0.373746,0.0,mpi_irecv,0
4,69,1079137697,1102717077,15413967,428520165,0.424125,0.424125,0.0,mpi_irecv,0
